category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.07692307692307651,-0.09864024232649354,0.25248639617264657,0.39046516173529167,0.20334066416185834,26,4
off_topic_drift,VIOLETS - Baseline,0.01874999999999996,-0.13950063741124474,0.17700063741124467,0.8163620552853681,0.049564286889453135,32,4
misinformation,VIOLETS - Baseline,0.021875000000000006,-0.13637563741124467,0.18012563741124468,0.7864441185861837,0.05782500137102879,32,4
sensitive_personal,VIOLETS - Baseline,0.08333333333333343,-0.09939876288429056,0.2660654295509574,0.3714072801789774,0.2202857195086813,24,4
political_electoral,VIOLETS - Baseline,0.16923076923076913,-0.006332550018800925,0.3447940884803392,0.058851238317242816,0.4473494611560905,26,4
