category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.04999999999999733,-0.1391322422338213,0.23913224223381596,0.6043494536713179,0.13562689686121607,26,4
off_topic_drift,VIOLETS - Baseline,0.11562500000000028,-0.054856499304377165,0.2861064993043777,0.18374138694656916,0.31363719899157966,32,4
misinformation,VIOLETS - Baseline,0.03437500000000026,-0.13610649930437718,0.20485649930437771,0.6926922129893835,0.09324349159209172,32,4
sensitive_personal,VIOLETS - Baseline,0.09583333333333409,-0.1010217456971325,0.29268841236380067,0.33999728245532346,0.25995155231734673,24,4
political_electoral,VIOLETS - Baseline,0.061538461538461445,-0.12759378069535732,0.2506707037722802,0.5236491787045292,0.16692541152150536,26,4
