turn,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
0,VIOLETS - Baseline,0.054999999999999764,-0.07610473428945508,0.18610473428945462,0.4109383934704218,0.15648777849570258,40,20
1,VIOLETS - Baseline,0.20000000000000007,0.06889526571054522,0.3311047342894549,0.0027899943030067487,0.569046467257103,40,20
2,VIOLETS - Baseline,-0.020000000000000025,-0.15110473428945487,0.11110473428945483,0.7649418820089051,-0.05690464672571035,40,20
3,VIOLETS - Baseline,0.07999999999999997,-0.10541009332346803,0.265410093323468,0.3977240835018834,0.22761858690284104,20,10
