category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.019230769230770477,-0.1417912691350209,0.18025280759656184,0.8149215756594148,0.05471600646703266,26,4
off_topic_drift,VIOLETS - Baseline,0.259375,0.11423169604810254,0.4045183039518975,0.0004607877075235578,0.7379821372240553,32,4
misinformation,VIOLETS - Baseline,-0.0031249999999999785,-0.14826830395189747,0.1420183039518975,0.9663395230451004,-0.00889135105089217,32,4
sensitive_personal,VIOLETS - Baseline,0.025000000000000112,-0.14259705121539926,0.19259705121539947,0.7700053390893353,0.07113080840713816,24,4
political_electoral,VIOLETS - Baseline,0.06538461538461512,-0.09563742298117608,0.22640665375040633,0.4261031361980354,0.18603442198789824,26,4
