category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_conversations
procedural,VIOLETS - Baseline,-11.500000000000341,-20.576868141792794,-2.4231318582078867,0.01301950308622657,80,10
eligibility,VIOLETS - Baseline,-9.797132468984122,-18.934168241724464,-0.660096696243782,0.03558847131111076,79,10
mail_in,VIOLETS - Baseline,-12.74999999999998,-25.586630029995128,0.08663002999516678,0.051561999714774265,40,5
results_integrity,VIOLETS - Baseline,-1.2499999999999858,-10.326868141792431,7.82686814179246,0.787224194624704,80,10
edge_cases,VIOLETS - Baseline,-15.624999999999982,-24.701868141792424,-6.5481318582075385,0.0007409483818283658,80,10
