category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_conversations
procedural,VIOLETS - Baseline,-10.662968921945557,-21.808040895080627,0.4821030511895117,0.06076299164367738,75,10
eligibility,VIOLETS - Baseline,-6.106079952667617,-17.479916386092746,5.267756480757514,0.2926930386403275,72,10
mail_in,VIOLETS - Baseline,-2.64100187983378,-19.212766145736605,13.930762386069045,0.7547666067053351,34,5
results_integrity,VIOLETS - Baseline,-7.832464639232698,-19.19875625378775,3.533826975322353,0.17681465549711906,72,10
edge_cases,VIOLETS - Baseline,-19.533266146933638,-31.31823226036842,-7.748300033498857,0.0011595504114669808,67,10
