category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,0.04858750000000166,-0.019054803606766813,0.11622980360677013,0.15916987424648088,16,4
requesting_a_ballot,VIOLETS - Baseline,0.041137499999999945,-0.026504803606768455,0.10877980360676834,0.23326197507786128,16,4
state_of_application_ballot,VIOLETS - Baseline,0.04776666666666679,-0.03033993772528147,0.12587327105861507,0.23066314462055892,12,3
ballot_documents_envelope,VIOLETS - Baseline,-0.04755000000000009,-0.11519230360676849,0.020092303606768308,0.1682630641339271,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.04197500000000011,-0.13763566315085052,0.053685663150850285,0.38977273685977165,8,2
returning_ballot,VIOLETS - Baseline,-0.08759000000000007,-0.1480911156077654,-0.02708888439223474,0.0045457790767335915,20,5
ballot_drop_boxes,VIOLETS - Baseline,0.03707499999999997,-0.05858566315085041,0.13273566315085034,0.4474739661318887,8,2
in_person_voting,VIOLETS - Baseline,-0.10504999999999999,-0.24033460721353678,0.03023460721353681,0.12801866056536126,4,1
general_election,VIOLETS - Baseline,-0.0611499999999999,-0.1964346072135367,0.0741346072135369,0.37565003890574267,4,1
