category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,-0.07226562500000021,-0.13136726178152514,-0.013163988218475295,0.016549778828980344,16,4
requesting_a_ballot,VIOLETS - Baseline,-0.07173774999999995,-0.13083938678152482,-0.012636113218475069,0.017357129388105408,16,4
state_of_application_ballot,VIOLETS - Baseline,-0.0319666666666667,-0.10021135847738845,0.03627802514405505,0.3585725355281193,12,3
ballot_documents_envelope,VIOLETS - Baseline,-0.09185375000000003,-0.1509553867815249,-0.03275211321847515,0.002317804385313371,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.05259599999999999,-0.13617833629488102,0.030986336294881053,0.21743679810752115,8,2
returning_ballot,VIOLETS - Baseline,-0.07366610000000001,-0.1265282109699966,-0.020803989030003404,0.006307316820769238,20,5
ballot_drop_boxes,VIOLETS - Baseline,-0.07513924999999995,-0.15872158629488098,0.00844308629488108,0.07806757230258832,8,2
in_person_voting,VIOLETS - Baseline,-0.037255499999999955,-0.1554587735630497,0.08094777356304979,0.5367361996735962,4,1
general_election,VIOLETS - Baseline,-0.045372500000000024,-0.16357577356304978,0.07283077356304973,0.4518412824518363,4,1
