category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,-0.08406249999999921,-0.1431580545543383,-0.024966945445660117,0.005302320395078386,16,4
requesting_a_ballot,VIOLETS - Baseline,-0.09978750000000006,-0.15888305455433926,-0.04069194544566085,0.0009342456960328427,16,4
state_of_application_ballot,VIOLETS - Baseline,-0.007950000000000054,-0.07618766865971598,0.06028766865971587,0.819374972875452,12,3
ballot_documents_envelope,VIOLETS - Baseline,-0.03727500000000003,-0.09637055455433924,0.021820554554339178,0.21635231567997515,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.06870000000000001,-0.15227373472670563,0.014873734726705612,0.10714135582129658,8,2
returning_ballot,VIOLETS - Baseline,-0.08043000000000003,-0.1332866708606199,-0.02757332913938014,0.002859438942665493,20,5
ballot_drop_boxes,VIOLETS - Baseline,-0.1383250000000001,-0.22189873472670574,-0.05475126527329445,0.0011784491043997924,8,2
in_person_voting,VIOLETS - Baseline,-0.10420000000000006,-0.22239110910867846,0.013991109108678346,0.08399161704122515,4,1
general_election,VIOLETS - Baseline,-0.05625000000000006,-0.17444110910867847,0.06194110910867836,0.3509174151338337,4,1
