category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.31166666666666576,0.2182501824133723,0.4050831509199592,6.185940648606447e-11,1.4064026200574657,60,10
off_topic_drift,VIOLETS - Baseline,-0.013414634146341642,-0.09332299414541138,0.0664937258527281,0.742128895793837,-0.06053382869687899,82,10
misinformation,VIOLETS - Baseline,-0.0003333333333331856,-0.09374981758662723,0.09308315091996086,0.994419824998338,-0.0015041739251944882,60,10
sensitive_personal,VIOLETS - Baseline,0.26812500000000006,0.17767487805643623,0.3585751219435639,6.243245920245499e-09,1.209919901078853,64,10
political_electoral,VIOLETS - Baseline,0.16566666666666693,0.0722501824133729,0.259083150919961,0.0005091358148141545,0.7475744408219932,60,10
