turn,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
0,VIOLETS - Baseline,0.10899999999999922,0.0325991776901664,0.18540082230983204,0.00516905965496961,0.49186487353881214,100,50
1,VIOLETS - Baseline,0.17219999999999985,0.0957991776901674,0.24860082230983233,9.978038202129724e-06,0.7770562497558163,100,50
2,VIOLETS - Baseline,0.15959999999999996,0.0831991776901675,0.23600082230983244,4.23251731158647e-05,0.72019847538344,100,50
3,VIOLETS - Baseline,0.042857142857142844,-0.16133264367942,0.24704692939370568,0.6807924604410169,0.19339379038223414,14,7
4,VIOLETS - Baseline,-1.942890293094024e-16,-0.22055017663445287,0.22055017663445248,0.9999999999999987,-8.767334755160409e-16,12,6
