category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.004100754303853813,-0.0398628237742438,0.04806433238195143,0.8549382363885778,0.041946884525974164,69,10
off_topic_drift,VIOLETS - Baseline,-0.043749999999999935,-0.08456429086074377,-0.0029357091392561083,0.035642740893130354,-0.447521617251417,80,10
misinformation,VIOLETS - Baseline,-0.017999999999999898,-0.058814290860743725,0.02281429086074393,0.3873664843920923,-0.18412317966915365,80,10
sensitive_personal,VIOLETS - Baseline,-0.05000000000000003,-0.09636191900152258,-0.003638080998477476,0.03453202931620436,-0.5114532768587633,62,10
political_electoral,VIOLETS - Baseline,0.015757575757576123,-0.029177479579430808,0.060692631094583054,0.49187988894790013,0.16118527513125028,66,10
