category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_conversations
procedural,VIOLETS - Baseline,-2.6086956519453595,-7.7842771101813995,2.56688580629068,0.3231934342824059,47,6
eligibility,VIOLETS - Baseline,-1.25000000000002,-6.369324253663718,3.8693242536636787,0.6322383112008665,48,6
mail_in,VIOLETS - Baseline,-4.166666666666648,-9.285990920330347,0.9526575869970504,0.11065351883807084,48,6
results_integrity,VIOLETS - Baseline,-0.6521739130684896,-5.826854726914311,4.522506900777332,0.8048910685758839,47,6
edge_cases,VIOLETS - Baseline,-2.916666666666667,-8.035990920330365,2.202657586997031,0.2641295297063577,48,6
