category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,-0.02743749999999953,-0.07604491894492064,0.02116991894492158,0.2685689870630552,16,4
requesting_a_ballot,VIOLETS - Baseline,-0.050512500000000016,-0.09911991894492113,-0.0019050810550789027,0.04166821336515514,16,4
state_of_application_ballot,VIOLETS - Baseline,-0.0335333333333333,-0.08966034615825952,0.022593679491592925,0.24159447082969132,12,3
ballot_documents_envelope,VIOLETS - Baseline,0.061024999999999996,0.01241758105507889,0.1096324189449211,0.013866050335185953,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.04087500000000003,-0.10961627110385838,0.027866271103858316,0.2438340302783053,8,2
returning_ballot,VIOLETS - Baseline,-0.04946999999999999,-0.09294579718866186,-0.005994202811338119,0.025731913803816564,20,5
ballot_drop_boxes,VIOLETS - Baseline,-0.16357500000000005,-0.23231627110385838,-0.09483372889614171,3.1017158066415362e-06,8,2
in_person_voting,VIOLETS - Baseline,0.019149999999999924,-0.07806483788984228,0.11636483788984214,0.6994275531934069,4,1
general_election,VIOLETS - Baseline,0.12479999999999988,0.02758516211015767,0.2220148378898421,0.011864160889373698,4,1
