category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,-0.004243625000000145,-0.05189877786870569,0.0434115278687054,0.8614448142265465,16,4
requesting_a_ballot,VIOLETS - Baseline,-0.03732362499999997,-0.08497877786870547,0.010331527868705524,0.12476503938033456,16,4
state_of_application_ballot,VIOLETS - Baseline,-0.039445500000000015,-0.09447293067403975,0.015581930674039728,0.16002322420682225,12,3
ballot_documents_envelope,VIOLETS - Baseline,0.043352500000000016,-0.00430265286870548,0.09100765286870552,0.07458028329602251,16,4
marking_reviewing_ballot,VIOLETS - Baseline,-0.04038350000000002,-0.10777806350388643,0.027011063503886393,0.2402141455409894,8,2
returning_ballot,VIOLETS - Baseline,-0.0811614,-0.12378546451702782,-0.03853733548297217,0.00018990648721328718,20,5
ballot_drop_boxes,VIOLETS - Baseline,-0.13968450000000002,-0.20707906350388644,-0.07228993649611361,4.8577102766067526e-05,8,2
in_person_voting,VIOLETS - Baseline,-0.05093199999999996,-0.14624230573741095,0.04437830573741103,0.2949213920045448,4,1
general_election,VIOLETS - Baseline,0.10716999999999999,0.011859694262588996,0.202480305737411,0.02753225053553754,4,1
