category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_faqs
voter_registration,VIOLETS - Baseline,0.10658750000000129,0.04986708318284104,0.16330791681716156,0.00023034246512776413,16,4
requesting_a_ballot,VIOLETS - Baseline,0.09593749999999995,0.0392170831828397,0.1526579168171602,0.000915892806790275,16,4
state_of_application_ballot,VIOLETS - Baseline,0.07134999999999994,0.005854904164129454,0.13684509583587043,0.03274359065104271,12,3
ballot_documents_envelope,VIOLETS - Baseline,0.012799999999999978,-0.04392041681716027,0.06952041681716023,0.6582649920807577,16,4
marking_reviewing_ballot,VIOLETS - Baseline,0.010275000000000048,-0.06993978272628293,0.09048978272628302,0.8017650545743003,8,2
returning_ballot,VIOLETS - Baseline,-0.026470000000000035,-0.07720228308611704,0.024262283086116977,0.30647493828738304,20,5
ballot_drop_boxes,VIOLETS - Baseline,0.105325,0.025110217273717025,0.18553978272628296,0.010066020929512254,8,2
in_person_voting,VIOLETS - Baseline,-0.0571,-0.1705408336343205,0.056340833634320506,0.32385920404305746,4,1
general_election,VIOLETS - Baseline,0.03109999999999996,-0.08234083363432051,0.14454083363432044,0.591034591601326,4,1
