category,contrast,estimate,ci_low,ci_high,p_value,n_rows,n_conversations
procedural,VIOLETS - Baseline,7.4749999999998495,-0.9618531592644244,15.911853159264123,0.08246699491660481,80,10
eligibility,VIOLETS - Baseline,7.283730622833104,-1.2087769303900187,15.776238176056225,0.09275818425494275,79,10
mail_in,VIOLETS - Baseline,13.575000000000005,5.138146840735773,22.011853159264234,0.0016123461103674241,80,10
results_integrity,VIOLETS - Baseline,4.525000000000008,-3.911853159264223,12.96185315926424,0.2931569488266059,80,10
edge_cases,VIOLETS - Baseline,14.549337682442545,6.056966289801352,23.041709075083737,0.0007853140116580448,79,10
