category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.003987071451090316,-0.029150907696455095,0.03712505059863573,0.8135709007989984,0.058398372780899654,61,10
off_topic_drift,VIOLETS - Baseline,-0.02512820512820498,-0.05442705547429191,0.004170645217881956,0.09276348059850026,-0.3680511644682306,78,10
misinformation,VIOLETS - Baseline,0.0005128205128206542,-0.028786029833266287,0.029811670858907596,0.9726330901604665,0.007511248254455801,78,10
sensitive_personal,VIOLETS - Baseline,0.0022580645161289874,-0.03060454421569694,0.03512067324795491,0.8928680072144393,0.03307372215267464,62,10
political_electoral,VIOLETS - Baseline,0.02664151209480054,-0.008309189340479271,0.061592213530080354,0.13516802325791333,0.3902164718752531,55,10
