category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.01838639895205481,-0.09823132146489161,0.13500411936900122,0.7573054391524658,0.05444395749614274,61,10
off_topic_drift,VIOLETS - Baseline,-0.3512499999999999,-0.45305377932395874,-0.24944622067604105,1.3561152201191362e-11,-1.0400862137489382,80,10
misinformation,VIOLETS - Baseline,-0.005000000000000015,-0.10680377932395889,0.09680377932395885,0.9233112064509867,-0.014805497704611268,80,10
sensitive_personal,VIOLETS - Baseline,0.04032258064516127,-0.0753187418310769,0.15596390312139943,0.4943378505452676,0.11939917503718722,62,10
political_electoral,VIOLETS - Baseline,0.05468749999999947,-0.059132585467380316,0.16850758546737926,0.34633219227263234,0.1619351311441837,64,10
