turn,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
0,VIOLETS - Baseline,-0.011399999999999666,-0.03749543830173608,0.01469543830173675,0.3918641533705718,-0.1669750486965015,100,50
1,VIOLETS - Baseline,0.004084757721083635,-0.022290357270592056,0.030459872712759326,0.7614719343447665,0.05982917713959391,98,50
2,VIOLETS - Baseline,0.002296977150044316,-0.024634837008319522,0.029228791308408154,0.8672396823407458,0.03364367293714142,94,48
3,VIOLETS - Baseline,0.010952380952381309,-0.029313754534488846,0.05121851643925147,0.5939507814436793,0.16041880200583847,42,21
