category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,-0.014676035968262507,-0.12269278703699309,0.09334071510046808,0.7900069633341968,-0.04478521852569971,61,10
off_topic_drift,VIOLETS - Baseline,-0.28,-0.37427157263869654,-0.18572842736130352,5.832906158076412e-09,-0.8544447025282476,80,10
misinformation,VIOLETS - Baseline,-0.001750000000000012,-0.09602157263869655,0.09252157263869652,0.970975976491852,-0.005340279390801584,80,10
sensitive_personal,VIOLETS - Baseline,0.02903225806451569,-0.07805305256194331,0.1361175686909747,0.5951539676374422,0.08859449680592293,62,10
political_electoral,VIOLETS - Baseline,0.10624999999999925,0.0008511776170319479,0.21164882238296656,0.04817420130301375,0.32423124872723447,64,10
