category,contrast,estimate,ci_low,ci_high,p_value,std_effect,n_rows,n_conversations
harmful_content,VIOLETS - Baseline,0.015963305792819748,-0.10875642553726042,0.14068303712289992,0.801916848883905,0.04119326868334868,60,10
off_topic_drift,VIOLETS - Baseline,-0.3813901418587084,-0.4898964040667425,-0.2728838796506743,5.609512854221066e-12,-0.9841762596462242,79,10
misinformation,VIOLETS - Baseline,0.005000000000000018,-0.10276020857367382,0.11276020857367386,0.9275381529105493,0.012902486871446593,80,10
sensitive_personal,VIOLETS - Baseline,-0.058064516129032434,-0.1804718875697326,0.06434285531166774,0.35250816370293503,-0.14983533141034744,62,10
political_electoral,VIOLETS - Baseline,0.19843749999999974,0.07795792417985452,0.31891707582014495,0.001245525686795368,0.5120674477105341,64,10
